date,open,high,low,close,volume,ma50,ma200
2026-01-08 13:25:00,6.9,6.9,6.88,6.88,912900,,
2026-01-08 13:30:00,6.89,6.9,6.88,6.89,432700,,
2026-01-08 13:35:00,6.88,6.88,6.86,6.87,1066200,,
2026-01-08 13:40:00,6.87,6.87,6.86,6.86,755400,,
2026-01-08 13:45:00,6.86,6.87,6.85,6.85,785300,,
2026-01-08 13:50:00,6.85,6.86,6.84,6.84,479800,,
2026-01-08 13:55:00,6.85,6.85,6.83,6.85,1024600,,
2026-01-08 14:00:00,6.85,6.87,6.85,6.86,718800,,
2026-01-08 14:05:00,6.87,6.87,6.85,6.85,710900,,
2026-01-08 14:10:00,6.85,6.87,6.84,6.85,1164900,,
2026-01-08 14:15:00,6.84,6.85,6.82,6.84,1937100,,
2026-01-08 14:20:00,6.83,6.85,6.82,6.84,1808600,,
2026-01-08 14:25:00,6.84,6.84,6.82,6.84,574900,,
2026-01-08 14:30:00,6.84,6.84,6.82,6.83,1148800,,
2026-01-08 14:35:00,6.84,6.84,6.83,6.83,1044400,,
2026-01-08 14:40:00,6.84,6.84,6.82,6.83,1617000,,
2026-01-08 14:45:00,6.82,6.86,6.81,6.86,3603500,,
2026-01-08 14:50:00,6.85,6.86,6.84,6.84,2135100,,
2026-01-08 14:55:00,6.84,6.86,6.84,6.85,2681700,,
2026-01-08 15:00:00,6.85,6.87,6.85,6.87,3363500,,
2026-01-09 09:35:00,6.82,6.89,6.81,6.87,3277200,,
2026-01-09 09:40:00,6.88,6.94,6.87,6.91,4023300,,
2026-01-09 09:45:00,6.91,6.91,6.87,6.9,2968000,,
2026-01-09 09:50:00,6.89,6.99,6.88,6.95,5552000,,
2026-01-09 09:55:00,6.96,6.96,6.93,6.96,3084700,,
2026-01-09 10:00:00,6.96,6.97,6.94,6.95,1653600,,
2026-01-09 10:05:00,6.96,6.96,6.93,6.96,1463200,,
2026-01-09 10:10:00,6.96,7.01,6.95,6.98,4688900,,
2026-01-09 10:15:00,6.99,7.05,6.97,7.05,3284500,,
2026-01-09 10:20:00,7.05,7.08,7.02,7.06,4697200,,
2026-01-09 10:25:00,7.06,7.06,7.01,7.01,2559500,,
2026-01-09 10:30:00,7.02,7.02,6.98,6.99,2238700,,
2026-01-09 10:35:00,6.99,7.03,6.99,7.01,1747000,,
2026-01-09 10:40:00,7.01,7.01,6.98,7.0,1152500,,
2026-01-09 10:45:00,7.0,7.0,6.95,6.96,1865900,,
2026-01-09 10:50:00,6.95,6.97,6.94,6.96,1859900,,
2026-01-09 10:55:00,6.95,6.97,6.95,6.95,1264400,,
2026-01-09 11:00:00,6.94,6.95,6.93,6.95,1283100,,
2026-01-09 11:05:00,6.95,6.95,6.9,6.9,2160900,,
2026-01-09 11:10:00,6.9,6.9,6.88,6.89,1674100,,
2026-01-09 11:15:00,6.88,6.92,6.88,6.91,974100,,
2026-01-09 11:20:00,6.91,6.91,6.89,6.89,658200,,
2026-01-09 11:25:00,6.9,6.91,6.87,6.88,1324700,,
2026-01-09 11:30:00,6.88,6.88,6.87,6.88,805900,,
2026-01-09 13:05:00,6.88,6.88,6.85,6.87,1441400,,
2026-01-09 13:10:00,6.87,6.88,6.86,6.88,706000,,
2026-01-09 13:15:00,6.88,6.88,6.87,6.88,696000,,
2026-01-09 13:20:00,6.88,6.88,6.86,6.86,1528500,,
2026-01-09 13:25:00,6.87,6.87,6.86,6.87,415800,,
2026-01-09 13:30:00,6.86,6.9,6.86,6.89,810200,6.901,
2026-01-09 13:35:00,6.89,6.89,6.87,6.87,645900,6.9008,
2026-01-09 13:40:00,6.86,6.88,6.86,6.87,499600,6.900400000000001,
2026-01-09 13:45:00,6.87,6.88,6.86,6.87,369900,6.900400000000001,
2026-01-09 13:50:00,6.88,6.88,6.86,6.87,648700,6.9006,
2026-01-09 13:55:00,6.87,6.88,6.85,6.86,1156200,6.900799999999999,
2026-01-09 14:00:00,6.86,6.87,6.85,6.87,518600,6.9014,
2026-01-09 14:05:00,6.87,6.87,6.86,6.86,443700,6.901599999999999,
2026-01-09 14:10:00,6.87,6.87,6.86,6.86,330300,6.901600000000001,
2026-01-09 14:15:00,6.87,6.87,6.85,6.86,891300,6.9018,
2026-01-09 14:20:00,6.85,6.87,6.85,6.86,737800,6.901999999999999,
2026-01-09 14:25:00,6.86,6.88,6.85,6.88,599600,6.9028,
2026-01-09 14:30:00,6.87,6.88,6.87,6.88,783500,6.9036,
2026-01-09 14:35:00,6.88,6.88,6.86,6.87,995600,6.9041999999999994,
2026-01-09 14:40:00,6.87,6.88,6.86,6.88,812900,6.9052,
2026-01-09 14:45:00,6.88,6.88,6.86,6.87,1435300,6.906000000000001,
2026-01-09 14:50:00,6.87,6.88,6.86,6.86,1580500,6.9066,
2026-01-09 14:55:00,6.87,6.88,6.86,6.88,2151600,6.907,
2026-01-09 15:00:00,6.87,6.88,6.86,6.87,2550100,6.9075999999999995,
2026-01-12 09:35:00,6.87,6.94,6.86,6.87,5086400,6.9079999999999995,
2026-01-12 09:40:00,6.88,6.89,6.86,6.86,3111000,6.907800000000001,
2026-01-12 09:45:00,6.86,6.9,6.86,6.88,2326600,6.908,
2026-01-12 09:50:00,6.88,6.93,6.88,6.93,2923700,6.9084,
2026-01-12 09:55:00,6.92,6.99,6.92,6.95,5880500,6.909400000000001,
2026-01-12 10:00:00,6.95,7.03,6.94,6.99,4662400,6.9102,
2026-01-12 10:05:00,6.99,7.0,6.95,6.96,2620900,6.9102,
2026-01-12 10:10:00,6.96,6.96,6.93,6.93,1607700,6.909800000000001,
2026-01-12 10:15:00,6.93,6.96,6.93,6.94,1159100,6.909400000000001,
2026-01-12 10:20:00,6.94,6.94,6.91,6.92,1748200,6.908200000000001,
2026-01-12 10:25:00,6.91,6.92,6.9,6.91,911600,6.905399999999999,
